Date,Value,Anomaly,State
201601,38.2,1.7,Oklahoma
201602,47.4,6.2,Oklahoma
201603,54.7,5.4,Oklahoma
201604,61.4,2,Oklahoma
201605,66.2,-1.8,Oklahoma
201606,79.2,2.3,Oklahoma
201607,83.2,1.5,Oklahoma
201608,80.8,-0.1,Oklahoma
201609,75.3,2.2,Oklahoma
201610,67.1,5.5,Oklahoma
201611,55.4,7,Oklahoma
201612,38.8,-0.1,Oklahoma
201701,40.9,4.4,Oklahoma
201702,50.5,9.3,Oklahoma
201703,56.2,6.9,Oklahoma
201704,61.4,2,Oklahoma
201705,66.9,-1.1,Oklahoma
201706,77.3,0.4,Oklahoma
201707,82.5,0.8,Oklahoma
201708,77.3,-3.6,Oklahoma
201709,73.3,0.2,Oklahoma
201710,62,0.4,Oklahoma
201711,52.9,4.5,Oklahoma
201712,40.5,1.6,Oklahoma
201801,36.6,0.1,Oklahoma
201802,41,-0.2,Oklahoma
201803,53,3.7,Oklahoma
201804,54.2,-5.2,Oklahoma
201805,75.1,7.1,Oklahoma
201806,80.6,3.7,Oklahoma
201807,82.7,1,Oklahoma
201808,79.9,-1,Oklahoma
201809,73.9,0.8,Oklahoma
201810,60.1,-1.5,Oklahoma
201811,44.5,-3.9,Oklahoma
201812,40.8,1.9,Oklahoma
201901,38.3,1.8,Oklahoma
201902,40.3,-0.9,Oklahoma
201903,47.3,-2,Oklahoma
201904,60.4,1,Oklahoma
201905,67,-1,Oklahoma
201906,75.4,-1.5,Oklahoma
201907,80.8,-0.9,Oklahoma
201908,82.4,1.5,Oklahoma
201909,79.7,6.6,Oklahoma
201910,57.4,-4.2,Oklahoma
201911,46.2,-2.2,Oklahoma
201912,43.2,4.3,Oklahoma
202001,42.2,5.7,Oklahoma
202002,41.8,0.6,Oklahoma
202003,55.5,6.2,Oklahoma
202004,57.9,-1.5,Oklahoma
202005,67.2,-0.8,Oklahoma
202006,78.8,1.9,Oklahoma
202007,82.6,0.9,Oklahoma
202008,79.4,-1.5,Oklahoma
202009,70.3,-2.8,Oklahoma
202010,58.3,-3.3,Oklahoma
202011,53.5,5.1,Oklahoma
202012,41,2.1,Oklahoma
202101,39.8,3.3,Oklahoma
202102,31.3,-9.9,Oklahoma
202103,53.9,4.6,Oklahoma
202104,57.5,-1.9,Oklahoma
202105,65.9,-2.1,Oklahoma
202106,77.4,0.5,Oklahoma
202107,80,-1.7,Oklahoma
202108,81.3,0.4,Oklahoma
202109,76.8,3.7,Oklahoma
202110,64.4,2.8,Oklahoma
202111,51.2,2.8,Oklahoma
202112,50.5,11.6,Oklahoma
