Date,Value,Anomaly,State
201601,23.7,3.9,New York
201602,26.7,6,New York
201603,37.7,7.1,New York
201604,41.3,-1.5,New York
201605,55.7,1.2,New York
201606,64.1,0.7,New York
201607,70.4,2.2,New York
201608,70.9,4.9,New York
201609,62.9,4,New York
201610,50.5,2.5,New York
201611,40.2,3.9,New York
201612,27.6,3.1,New York
201701,27.9,8.1,New York
201702,30.6,9.9,New York
201703,28.2,-2.4,New York
201704,48.8,6,New York
201705,54,-0.5,New York
201706,63.9,0.5,New York
201707,68.1,-0.1,New York
201708,65.6,-0.4,New York
201709,62.3,3.4,New York
201710,54.8,6.8,New York
201711,36.2,-0.1,New York
201712,22.6,-1.9,New York
201801,19.1,-0.7,New York
201802,29.4,8.7,New York
201803,29.9,-0.7,New York
201804,37.8,-5,New York
201805,60,5.5,New York
201806,63.4,0,New York
201807,71.2,3,New York
201808,70.4,4.4,New York
201809,63.6,4.7,New York
201810,47.7,-0.3,New York
201811,33.3,-3,New York
201812,28.5,4,New York
201901,19.4,-0.4,New York
201902,24.2,3.5,New York
201903,29.5,-1.1,New York
201904,44.5,1.7,New York
201905,54.2,-0.3,New York
201906,62.9,-0.5,New York
201907,71,2.8,New York
201908,66.6,0.6,New York
201909,60.3,1.4,New York
201910,50.2,2.2,New York
201911,32.8,-3.5,New York
201912,27.3,2.8,New York
202001,27.7,7.9,New York
202002,26.6,5.9,New York
202003,37.2,6.6,New York
202004,41.1,-1.7,New York
202005,54.2,-0.3,New York
202006,65.2,1.8,New York
202007,72.9,4.7,New York
202008,68.6,2.6,New York
202009,59.6,0.7,New York
202010,49,1,New York
202011,41.9,5.6,New York
202012,29.8,5.3,New York
202101,24.1,4.3,New York
202102,21.8,1.1,New York
202103,35.1,4.5,New York
202104,45.8,3,New York
202105,54.8,0.3,New York
202106,67.2,3.8,New York
202107,67.8,-0.4,New York
202108,70.5,4.5,New York
202109,61.8,2.9,New York
202110,54.9,6.9,New York
202111,37.1,0.8,New York
202112,32.8,8.3,New York
