Date,Value,Anomaly,State
201601,34.8,-2.4,Tennessee
201602,42.5,2.4,Tennessee
201603,53.9,5.5,Tennessee
201604,59.5,1.9,Tennessee
201605,65.3,-0.8,Tennessee
201606,76.5,2.7,Tennessee
201607,79.8,2.7,Tennessee
201608,79,3,Tennessee
201609,74.1,3.9,Tennessee
201610,64.6,5.8,Tennessee
201611,52.7,5.3,Tennessee
201612,40.9,1.7,Tennessee
201701,44.9,7.7,Tennessee
201702,48.9,8.8,Tennessee
201703,51.1,2.7,Tennessee
201704,63.1,5.5,Tennessee
201705,66.6,0.5,Tennessee
201706,73,-0.8,Tennessee
201707,78.1,1,Tennessee
201708,74.6,-1.4,Tennessee
201709,69.1,-1.1,Tennessee
201710,60.8,2,Tennessee
201711,49.9,2.5,Tennessee
201712,39.5,0.3,Tennessee
201801,32.9,-4.3,Tennessee
201802,48.5,8.4,Tennessee
201803,48.2,-0.2,Tennessee
201804,52.9,-4.7,Tennessee
201805,72.3,6.2,Tennessee
201806,76.5,2.7,Tennessee
201807,78.1,1,Tennessee
201808,76.5,0.5,Tennessee
201809,74.9,4.7,Tennessee
201810,61,2.2,Tennessee
201811,44.4,-3,Tennessee
201812,42.7,3.5,Tennessee
201901,39.4,2.2,Tennessee
201902,46.7,6.6,Tennessee
201903,46.9,-1.5,Tennessee
201904,59.3,1.7,Tennessee
201905,70.1,4,Tennessee
201906,73.4,-0.4,Tennessee
201907,77.8,0.7,Tennessee
201908,76.9,0.9,Tennessee
201909,76.4,6.2,Tennessee
201910,61.7,2.9,Tennessee
201911,44.2,-3.2,Tennessee
201912,45.2,6,Tennessee
202001,43,5.8,Tennessee
202002,43.3,3.2,Tennessee
202003,54.7,6.3,Tennessee
202004,55.4,-2.2,Tennessee
202005,64,-2.1,Tennessee
202006,73.5,-0.3,Tennessee
202007,79.2,2.1,Tennessee
202008,76.4,0.4,Tennessee
202009,69.9,-0.3,Tennessee
202010,60.4,1.6,Tennessee
202011,51.9,4.5,Tennessee
202012,39.5,0.3,Tennessee
202101,39.6,2.4,Tennessee
202102,37.4,-2.7,Tennessee
202103,53.6,5.2,Tennessee
202104,56.2,-1.4,Tennessee
202105,64.2,-1.9,Tennessee
202106,74.1,0.3,Tennessee
202107,77.1,0,Tennessee
202108,77.2,1.2,Tennessee
202109,69.7,-0.5,Tennessee
202110,63.4,4.6,Tennessee
202111,45.6,-1.8,Tennessee
202112,50.5,11.3,Tennessee
