Date,Value,Anomaly,State
201601,32.1,-0.3,Maryland
201602,36.9,3.1,Maryland
201603,49.4,6.9,Maryland
201604,53.1,1,Maryland
201605,60.9,-1.4,Maryland
201606,72.2,1.6,Maryland
201607,78.4,3.3,Maryland
201608,78,4.8,Maryland
201609,71.5,4.5,Maryland
201610,59.4,3.6,Maryland
201611,47.7,2.9,Maryland
201612,38,2.7,Maryland
201701,38.3,5.9,Maryland
201702,43.7,9.9,Maryland
201703,43.1,0.6,Maryland
201704,59.5,7.4,Maryland
201705,62.2,-0.1,Maryland
201706,72.6,2,Maryland
201707,77.4,2.3,Maryland
201708,72.8,-0.4,Maryland
201709,68.3,1.3,Maryland
201710,61.2,5.4,Maryland
201711,45.8,1,Maryland
201712,35.3,0,Maryland
201801,31,-1.4,Maryland
201802,41.6,7.8,Maryland
201803,39.3,-3.2,Maryland
201804,50.7,-1.4,Maryland
201805,68.8,6.5,Maryland
201806,72.1,1.5,Maryland
201807,76.2,1.1,Maryland
201808,77.1,3.9,Maryland
201809,72.7,5.7,Maryland
201810,59,3.2,Maryland
201811,43.4,-1.4,Maryland
201812,39.2,3.9,Maryland
201901,34,1.6,Maryland
201902,37.6,3.8,Maryland
201903,42.1,-0.4,Maryland
201904,57.8,5.7,Maryland
201905,67.3,5,Maryland
201906,72.5,1.9,Maryland
201907,78.6,3.5,Maryland
201908,75.6,2.4,Maryland
201909,71.4,4.4,Maryland
201910,60.3,4.5,Maryland
201911,42.6,-2.2,Maryland
201912,38.9,3.6,Maryland
202001,39.1,6.7,Maryland
202002,41,7.2,Maryland
202003,49.3,6.8,Maryland
202004,51.6,-0.5,Maryland
202005,60.5,-1.8,Maryland
202006,72.7,2.1,Maryland
202007,80.1,5,Maryland
202008,76.6,3.4,Maryland
202009,67.3,0.3,Maryland
202010,59,3.2,Maryland
202011,50.9,6.1,Maryland
202012,38.3,3,Maryland
202101,35.4,3,Maryland
202102,34.4,0.6,Maryland
202103,47.3,4.8,Maryland
202104,55,2.9,Maryland
202105,62.3,0,Maryland
202106,73.2,2.6,Maryland
202107,77.2,2.1,Maryland
202108,77.2,4,Maryland
202109,69.6,2.6,Maryland
202110,63,7.2,Maryland
202111,44.5,-0.3,Maryland
202112,43.8,8.5,Maryland
