Date,Value,Anomaly,State
201601,26.9,1.6,Illinois
201602,33.8,4.6,Illinois
201603,47.3,7.5,Illinois
201604,53,1.5,Illinois
201605,62,-0.1,Illinois
201606,74.8,3.4,Illinois
201607,75.6,0,Illinois
201608,75.7,2.3,Illinois
201609,70.8,4.6,Illinois
201610,59.9,5.3,Illinois
201611,48.1,7.3,Illinois
201612,28.9,-0.5,Illinois
201701,32.1,6.8,Illinois
201702,41.1,11.9,Illinois
201703,43.2,3.4,Illinois
201704,56.5,5,Illinois
201705,61.9,-0.2,Illinois
201706,72.7,1.3,Illinois
201707,76.1,0.5,Illinois
201708,70.5,-2.9,Illinois
201709,68.8,2.6,Illinois
201710,58.1,3.5,Illinois
201711,41.9,1.1,Illinois
201712,29.8,0.4,Illinois
201801,24.1,-1.2,Illinois
201802,31.8,2.6,Illinois
201803,39.2,-0.6,Illinois
201804,44.8,-6.7,Illinois
201805,70.7,8.6,Illinois
201806,74.9,3.5,Illinois
201807,75,-0.6,Illinois
201808,74.7,1.3,Illinois
201809,70.3,4.1,Illinois
201810,54.2,-0.4,Illinois
201811,35.6,-5.2,Illinois
201812,34.4,5,Illinois
201901,25.4,0.1,Illinois
201902,29.3,0.1,Illinois
201903,37.3,-2.5,Illinois
201904,52.5,1,Illinois
201905,62.5,0.4,Illinois
201906,70.9,-0.5,Illinois
201907,77.4,1.8,Illinois
201908,72.8,-0.6,Illinois
201909,71.6,5.4,Illinois
201910,53.7,-0.9,Illinois
201911,36.2,-4.6,Illinois
201912,35.6,6.2,Illinois
202001,31.8,6.5,Illinois
202002,31.9,2.7,Illinois
202003,44.4,4.6,Illinois
202004,49.6,-1.9,Illinois
202005,60.6,-1.5,Illinois
202006,73.6,2.2,Illinois
202007,77.3,1.7,Illinois
202008,72.8,-0.6,Illinois
202009,65.6,-0.6,Illinois
202010,52,-2.6,Illinois
202011,47.1,6.3,Illinois
202012,33,3.6,Illinois
202101,29.5,4.2,Illinois
202102,20.8,-8.4,Illinois
202103,46.2,6.4,Illinois
202104,52.6,1.1,Illinois
202105,61.1,-1,Illinois
202106,74.1,2.7,Illinois
202107,74.6,-1,Illinois
202108,75.5,2.1,Illinois
202109,69.6,3.4,Illinois
202110,60.2,5.6,Illinois
202111,41,0.2,Illinois
202112,40.2,10.8,Illinois
